h0,h1,h2,h3,h4,h5,h6,h7,h8
1661.8725,3014.8725,163.09000000000003,0.029100000000000015,0.03090000000000004,1.12,1.12,1.12,1.12
1662.490709044237,3015.7085290471896,160.80279953903,0.029364632014550307,0.030635367985449746,1.12,1.12,1.12,1.12
1663.1093334395853,3016.545029610711,158.53166576221003,0.029623996768789518,0.030376003231210535,1.12,1.12,1.12,1.12
1663.728369742866,3017.3819970720897,156.27659846630226,0.029878198319337523,0.03012180168066253,1.12,1.12,1.12,1.12
1664.3478145714098,3018.21942689373,154.03759749862292,0.030127340281713877,0.029872659718286176,1.12,1.12,1.12,1.12
1664.9676646419757,3019.0573146717597,151.8146626449409,0.030371526094251644,0.02962847390574841,1.12,1.12,1.12,1.12
1665.587916725472,3019.8956560745664,149.60779375734316,0.030610857073182673,0.02938914292681738,1.12,1.12,1.12,1.12
1666.2085681619378,3020.7344475336504,147.41699081288837,0.030845414365291923,0.02915458563470813,1.12,1.12,1.12,1.12
1666.8296148924446,3021.573683604977,145.2422534044761,0.031075311414713702,0.02892468858528635,1.12,1.12,1.12,1.12
1667.4510544385635,3022.41336096362,143.08358150234645,0.031300629960435145,0.02869937003956491,1.12,1.12,1.12,1.12
1668.0728840871661,3023.253475969809,140.9409750444261,0.03152145080703889,0.028478549192961167,1.12,1.12,1.12,1.12
1668.6951003891397,3024.0940239973615,138.8144337018025,0.03173788167293734,0.028262118327062713,1.12,1.12,1.12,1.12
1669.3177006059311,3024.9350013718595,136.70395749826338,0.03195000642792711,0.02804999357207294,1.12,1.12,1.12,1.12
1669.9406821250982,3025.7764045892072,134.60954624272935,0.03215790814021269,0.027842091859787366,1.12,1.12,1.12,1.12
1670.5640422532156,3026.6182300365517,132.53119974993203,0.03236167795515871,0.027638322044841346,1.12,1.12,1.12,1.12
1671.187778755152,3027.460474715885,130.46891787003142,0.03256138239709222,0.027438617602907833,1.12,1.12,1.12,1.12
1671.811888464397,3028.3031343792,128.42270044603163,0.03275711441538709,0.027242885584612964,1.12,1.12,1.12,1.12
1672.4363689215488,3029.146205727126,126.39254731435979,0.03294894986306085,0.027051050136939203,1.12,1.12,1.12,1.12
1673.0612176541467,3029.989685442573,124.37845849281135,0.03313696788879339,0.026863032111206664,1.12,1.12,1.12,1.12
1673.6864322589836,3030.8335703021357,122.38043376685042,0.033321245139586064,0.02667875486041399,1.12,1.12,1.12,1.12
1674.312010416894,3031.677857194424,120.39847307565442,0.03350185457160998,0.026498145428390074,1.12,1.12,1.12,1.12
1674.9379498055077,3032.5225430039864,118.43257630289169,0.033678869193490224,0.02632113080650983,1.12,1.12,1.12,1.12
1675.5642481505192,3033.367624679825,116.48274333660528,0.03385236056813862,0.026147639431861436,1.12,1.12,1.12,1.12
1676.1909032261233,3034.2130992359953,114.54897406749349,0.03402239883305119,0.02597760116694886,1.12,1.12,1.12,1.12
1676.8179128539132,3035.0589637501266,112.6312683702842,0.03418905272875539,0.025810947271244666,1.12,1.12,1.12,1.12
1677.445274901807,3035.9052153619787,110.72962615919367,0.03435238962639059,0.025647610373609464,1.12,1.12,1.12,1.12
1678.0729872829945,3036.7518512720358,108.84404733254796,0.034512475555496025,0.02548752444450403,1.12,1.12,1.12,1.12
1678.7010479549167,3037.5988687401327,106.97453179107727,0.03466937523111291,0.025330624768887144,1.12,1.12,1.12,1.12
1679.3294549182656,3038.4462650841187,105.12107943786238,0.034823152079063335,0.025176847920936718,1.12,1.12,1.12,1.12
1679.9582062160025,3039.294037678534,103.28369017827362,0.034973868272699604,0.02502613172730045,1.12,1.12,1.12,1.12
1680.5872999324483,3040.1421839534005,101.46236391992811,0.03512158474073562,0.02487841525926443,1.12,1.12,1.12,1.12
1681.21673419211,3040.990701392634,99.65710057319986,0.035266361188878215,0.02473363881112184,1.12,1.12,1.12,1.12
1681.8465071590783,3041.8395875332462,97.86790005110834,0.03540825699437372,0.024591743005626332,1.12,1.12,1.12,1.12
1682.4766170383814,3042.6888399671625,96.09476226773205,0.03554732794945603,0.024452672050544022,1.12,1.12,1.12,1.12
1683.107062069519,3043.5384563325492,94.33768713811371,0.035683631998533694,0.02431636800146636,1.12,1.12,1.12,1.12
1683.737840531543,3044.3884343206273,92.59667457897513,0.03581722238920404,0.024182777610796014,1.12,1.12,1.12,1.12
1684.368950744904,3045.2387716781386,90.87172451269113,0.03594815407160723,0.024051845928392823,1.12,1.12,1.12,1.12
1685.00039104596,3046.089466173068,89.16283688447565,0.0360764794298577,0.023923520570142354,1.12,1.12,1.12,1.12
1685.632159825102,3046.940515646098,87.47001158800383,0.03620225054666826,0.023797749453331796,1.12,1.12,1.12,1.12
1686.2642554938843,3047.791917966125,85.79324856078762,0.03632551866551703,0.023674481334483022,1.12,1.12,1.12,1.12
1686.896676510909,3048.6436710652715,84.13254771392403,0.036446333311961676,0.023553666688038377,1.12,1.12,1.12,1.12
1687.5294216270763,3049.495773267431,82.48790910334624,0.03656473779924835,0.023435262200751705,1.12,1.12,1.12,1.12
1688.1624888385809,3050.3482218847194,80.85933246080484,0.03668079281103731,0.023319207188962743,1.12,1.12,1.12,1.12
1688.7946701382828,3051.1993906536245,79.25220370349851,0.03679407740153062,0.02320592259846943,1.12,1.12,1.12,1.12
1689.4206169919548,3052.0420804681135,77.675584798816,0.036902617100271706,0.023097382899728347,1.12,1.12,1.12,1.12
1690.0402296159405,3052.876160191702,76.12886326357814,0.03700655662887242,0.02299344337112763,1.12,1.12,1.12,1.12
