[[1625.0], [2965.0], [67.0], [0.3900000000000001], [0.41000000000000014], [3.0], [3.0], [3.0], [3.0]]
[[1064.95272710489], [2092.7529293763087], [96.8988642271276], [0.39094623498748104], [0.4090537650125192], [3.0], [3.0], [3.0], [3.0]]
[[1599.976325353473], [2931.576297700204], [101.58993004186254], [0.3900712509279889], [0.4099287490720114], [3.0], [3.0], [3.0], [3.0]]
[[945.5763162428914], [1933.9762873437903], [65.33425352979017], [0.39004974528950287], [0.4099502547104974], [3.0], [3.0], [3.0], [3.0]]
[[1711.9773531642827], [3083.5776818386958], [70.0772725455585], [0.3909706853188699], [0.40902931468113035], [3.0], [3.0], [3.0], [3.0]]
[[1065.577081510524], [2093.977301329738], [96.43682803760416], [0.39095071496308487], [0.4090492850369154], [3.0], [3.0], [3.0], [3.0]]
[[1598.2024330034192], [2929.202408183167], [101.09783301243493], [0.39007043798936847], [0.4099295620106318], [3.0], [3.0], [3.0], [3.0]]
[[946.2024021789663], [1935.2023684279213], [64.94455438770929], [0.3900541117573151], [0.4099458882426852], [3.0], [3.0], [3.0], [3.0]]
[[1710.2034495849216], [3081.203777025192], [69.65788761024837], [0.39096954510097026], [0.40903045489903], [3.0], [3.0], [3.0], [3.0]]
[[1066.2032341566826], [2095.203470956085], [95.9758463761246], [0.3909552872072193], [0.409044712792781], [3.0], [3.0], [3.0], [3.0]]
[[1596.4303450907842], [2926.8303247464264], [100.60688559820059], [0.39006921948500706], [0.4099307805149932], [3.0], [3.0], [3.0], [3.0]]
[[946.8302851307046], [1936.4302454982962], [64.55600556956239], [0.39005856865333266], [0.4099414313466676], [3.0], [3.0], [3.0], [3.0]]
[[1708.4313448684597], [3078.8316706824967], [69.23974598831691], [0.39096788784794656], [0.4090321121520537], [3.0], [3.0], [3.0], [3.0]]
[[1066.8311850148361], [2096.4314382176267], [95.5159193987123], [0.3909600048017663], [0.409039995198234], [3.0], [3.0], [3.0], [3.0]]
[[1594.660063144962], [2924.460049485051], [100.11708734415711], [0.3900675092106556], [0.4099324907893447], [3.0], [3.0], [3.0], [3.0]]
[[947.4599643016132], [1937.6599174837113], [64.16860669360818], [0.39006317419003933], [0.40993682580996094], [3.0], [3.0], [3.0], [3.0]]
[[1706.6610393811557], [3076.461363303159], [68.82284721069783], [0.390966093361818], [0.4090339066381823], [3.0], [3.0], [3.0], [3.0]]
[[1067.460934135968], [2097.6612031818004], [95.05706349710663], [0.39096493988477343], [0.40903506011522683], [3.0], [3.0], [3.0], [3.0]]
[[1592.8915823633383], [2922.091575818222], [99.6284398953441], [0.3900656816228145], [0.40993431837718575], [3.0], [3.0], [3.0], [3.0]]
[[948.0914386932657], [1938.8913830413887], [63.782358210338344], [0.3900680036149713], [0.409931996385029], [3.0], [3.0], [3.0], [3.0]]
[[1704.8925334117753], [3074.092855275515], [68.40718703585588], [0.39096427368648934], [0.40903572631351093], [3.0], [3.0], [3.0], [3.0]]
[[1068.0924816192492], [2098.8927659797746], [94.59927080028324], [0.3909704183859657], [0.4090295816140346], [3.0], [3.0], [3.0], [3.0]]
[[1591.1249014794184], [2919.7249020110976], [99.14094301352316], [0.39006384468015876], [0.4099361553198415], [3.0], [3.0], [3.0], [3.0]]
[[948.7247036718497], [1940.1246359392846], [63.39725892122665], [0.39007338454835194], [0.4099266154516483], [3.0], [3.0], [3.0], [3.0]]
[[1703.1258271900408], [3071.7261469085024], [67.99276624445056], [0.39096239272380506], [0.4090376072761952], [3.0], [3.0], [3.0], [3.0]]
[[1068.7258275900222], [2100.1261267773257], [94.14253628346955], [0.3909766622015822], [0.40902333779841804], [3.0], [3.0], [3.0], [3.0]]
[[1589.360021189838], [2917.360029018466], [98.65459606736971], [0.39006195982145764], [0.40993804017854263], [3.0], [3.0], [3.0], [3.0]]
[[949.3597561369027], [1941.3596720076687], [63.01330782272157], [0.3900795411536868], [0.40992045884631345], [3.0], [3.0], [3.0], [3.0]]
[[1701.3609209099372], [3069.361238462995], [67.57958425376006], [0.390960365239684], [0.40903963476031624], [3.0], [3.0], [3.0], [3.0]]
[[1069.36097220876], [2101.3612857866997], [93.68685832833691], [0.3909838950425484], [0.4090161049574519], [3.0], [3.0], [3.0], [3.0]]
[[1587.5969428145163], [2914.996958649448], [98.16939813237062], [0.39005994037619507], [0.4099400596238052], [3.0], [3.0], [3.0], [3.0]]
[[949.9965929945846], [1942.5964870857529], [62.630503800403275], [0.39008669691679865], [0.4099133030832016], [3.0], [3.0], [3.0], [3.0]]
[[1699.5978147447372], [3066.9981301720136], [67.16764385948032], [0.3909581890177942], [0.40904181098220604], [3.0], [3.0], [3.0], [3.0]]
[[1069.9979156324343], [2102.5982432155038], [93.23223981087123], [0.3909921277115749], [0.4090078722884254], [3.0], [3.0], [3.0], [3.0]]
[[1585.8356665174251], [2912.6356911295497], [97.68534915295248], [0.39005778214772624], [0.409942217852274], [3.0], [3.0], [3.0], [3.0]]
[[950.6352142353342], [1943.835081160804], [62.2488467932353], [0.3900948616025368], [0.40990513839746345], [3.0], [3.0], [3.0], [3.0]]
[[1697.8365088393816], [3064.636822230479], [66.75694623375357], [0.3909562047233037], [0.40904379527669654], [3.0], [3.0], [3.0], [3.0]]
[[1070.636658001937], [2103.836999250081], [92.77869156388635], [0.3910012961108449], [0.4089987038891554], [3.0], [3.0], [3.0], [3.0]]
[[1584.0761878595572], [2910.276220374908], [97.20245085296607], [0.3900558401202159], [0.4099441598797844], [3.0], [3.0], [3.0], [3.0]]
[[951.27562092066], [1945.0754556605248], [61.86833770499689], [0.39010397014142884], [0.40989602985857143], [3.0], [3.0], [3.0], [3.0]]
[[1696.0770035461337], [3062.277315112123], [66.34749813739116], [0.39095466708127136], [0.4090453329187289], [3.0], [3.0], [3.0], [3.0]]
[[1071.2771994431105], [2105.0775540568684], [92.32621178821536], [0.39101091593246773], [0.40898908406753254], [3.0], [3.0], [3.0], [3.0]]
[[1582.3185037197404], [2907.9185421086486], [96.72070543555617], [0.390054356675249], [0.40994564332475125], [3.0], [3.0], [3.0], [3.0]]
[[951.9178201915095], [1946.3176201887263], [61.48897919781879], [0.3901135371356843], [0.40988646286431596], [3.0], [3.0], [3.0], [3.0]]
[[1694.3192990383372], [3059.9196090500645], [65.93932140280486], [0.39095370406789653], [0.40904629593210373], [3.0], [3.0], [3.0], [3.0]]
[[1071.9195400649405], [2106.31990778001], [91.87479654374447], [0.39101920005972923], [0.40898079994027103], [3.0], [3.0], [3.0], [3.0]]
[[1580.562612560716], [2905.5626542232944], [96.24011757091989], [0.3900534582639055], [0.4099465417360948], [3.0], [3.0], [3.0], [3.0]]
[[952.5618380652154], [1947.5616097356858], [61.11077907923542], [0.3901217744274228], [0.40987822557257747], [3.0], [3.0], [3.0], [3.0]]
[[1692.5633954667699], [3057.5637042470726], [65.53243535549109], [0.390952962656105], [0.40904703734389525], [3.0], [3.0], [3.0], [3.0]]
[[1072.5636799603901], [2107.5640605424574], [91.42442924115934], [0.39102343405065154], [0.4089765659493487], [3.0], [3.0], [3.0], [3.0]]
[[1578.808519352511], [2903.208563527811], [95.76069182158719], [0.3900527937317322], [0.4099472062682681], [3.0], [3.0], [3.0], [3.0]]
[[953.207713992136], [1948.8074773579467], [60.733747964375], [0.39012596661746146], [0.4098740333825388], [3.0], [3.0], [3.0], [3.0]]
[[1690.8092930083976], [3055.2096009411352], [65.12677530687648], [0.3909517897040735], [0.40904821029592675], [3.0], [3.0], [3.0], [3.0]]
[[1073.209619207792], [2108.810012447813], [90.97510015169362], [0.3910254569950662], [0.4089745430049341], [3.0], [3.0], [3.0], [3.0]]
[[1577.056233053749], [2900.856282299567], [95.28242080461746], [0.3900517124505005], [0.40994828754949975], [3.0], [3.0], [3.0], [3.0]]
[[953.8554213785714], [1950.0551872912345], [60.35787659728363], [0.39012795153413427], [0.409872048465866], [3.0], [3.0], [3.0], [3.0]]
[[1689.0569918769852], [3052.8572994197307], [64.72236816895818], [0.39095023331165946], [0.4090497666883408], [3.0], [3.0], [3.0], [3.0]]
[[1073.8573578658938], [2110.057763573775], [90.52683102759272], [0.39102504482098555], [0.4089749551790147], [3.0], [3.0], [3.0], [3.0]]
[[1575.305753201775], [2898.5058099049465], [94.80530498475912], [0.39005026587606517], [0.4099497341239351], [3.0], [3.0], [3.0], [3.0]]
[[954.5049635045968], [1951.3047439333973], [59.98316581343673], [0.3901275041883605], [0.40987249581163976], [3.0], [3.0], [3.0], [3.0]]
[[1687.3064923351426], [3050.5068000360234], [64.31913757051693], [0.3909484868080626], [0.40905151319193767], [3.0], [3.0], [3.0], [3.0]]
[[1074.5068959782425], [2111.3073139779403], [90.0796268511763], [0.3910269447487411], [0.40897305525125915], [3.0], [3.0], [3.0], [3.0]]
[[1573.5570774147068], [2896.1571430803797], [94.32933451166997], [0.39004865208783235], [0.4099513479121679], [3.0], [3.0], [3.0], [3.0]]
[[955.1562716133791], [1952.5560548383864], [59.6095962030594], [0.39012937044449236], [0.4098706295555079], [3.0], [3.0], [3.0], [3.0]]
[[1685.557794714604], [3048.158103236139], [63.91716331849056], [0.3909467777970508], [0.4090532222029495], [3.0], [3.0], [3.0], [3.0]]
[[1075.1582335688329], [2112.5586636920443], [89.63348901878574], [0.39102995493850345], [0.4089700450614968], [3.0], [3.0], [3.0], [3.0]]
[[1571.8102029150798], [2893.810278020102], [93.85451294821678], [0.39004710519198094], [0.40995289480801933], [3.0], [3.0], [3.0], [3.0]]
[[955.8093631323636], [1953.8091434311948], [59.23717306120168], [0.39013234791637386], [0.4098676520836264], [3.0], [3.0], [3.0], [3.0]]
[[1683.8108994415888], [3045.8112095932684], [63.51644014415529], [0.39094531261675813], [0.40905468738324213], [3.0], [3.0], [3.0], [3.0]]
[[1075.8113706523136], [2113.8118127354624], [89.18841702479685], [0.3910334200730454], [0.40896657992695484], [3.0], [3.0], [3.0], [3.0]]
[[1570.065127304029], [2891.4652114370583], [93.38084257007137], [0.3900458393341313], [0.409954160665869], [3.0], [3.0], [3.0], [3.0]]
[[956.4642475731889], [1955.0640225011566], [58.86589929594278], [0.39013578081588696], [0.4098642191841133], [3.0], [3.0], [3.0], [3.0]]
[[1682.0658070556728], [3043.4661198330496], [63.116986564053136], [0.39094424333328215], [0.4090557566667181], [3.0], [3.0], [3.0], [3.0]]
[[1076.466307235874], [2115.066761117704], [88.74440907855706], [0.3910356291582997], [0.40896437084170056], [3.0], [3.0], [3.0], [3.0]]
[[1568.321849025679], [2889.121941199258], [92.90832787778862], [0.39004501118033863], [0.40995498881966164], [3.0], [3.0], [3.0], [3.0]]
[[957.1209497686419], [1956.3207254534643], [58.4957819895607], [0.3901379578848787], [0.40986204211512156], [3.0], [3.0], [3.0], [3.0]]
[[1680.3225181632047], [3041.122834770915], [62.71876417107481], [0.3909436818077485], [0.40905631819225174], [3.0], [3.0], [3.0], [3.0]]
[[1077.1230433233163], [2116.3235088437987], [88.30146385735489], [0.39103756574328097], [0.4089624342567193], [3.0], [3.0], [3.0], [3.0]]
[[1566.580367130764], [2886.780466005939], [92.43696686464057], [0.39004474487496443], [0.40995525512503583], [3.0], [3.0], [3.0], [3.0]]
[[957.7794554511102], [1957.5792330951617], [58.12681698709726], [0.39013986242904997], [0.4098601375709503], [3.0], [3.0], [3.0], [3.0]]
[[1678.5810335486797], [3038.781355461877], [62.32175608527514], [0.3909437258693198], [0.40905627413068046], [3.0], [3.0], [3.0], [3.0]]
[[1077.7815789142592], [2117.5820559132417], [87.85958056081068], [0.3910411200821078], [0.4089588799178925], [3.0], [3.0], [3.0], [3.0]]
[[1564.8406810248566], [2884.4407850426114], [91.96675541390871], [0.3900451501321007], [0.40995484986789954], [3.0], [3.0], [3.0], [3.0]]
[[958.4397372055186], [1958.839508554169], [57.75899643217637], [0.39014338454621145], [0.4098566154537888], [3.0], [3.0], [3.0], [3.0]]
[[1676.8413541689654], [3036.441683192757], [61.926037590631985], [0.3909444523335135], [0.4090555476664868], [3.0], [3.0], [3.0], [3.0]]
[[1078.4419140056236], [2118.842402321962], [87.41875803228614], [0.3910430578248687], [0.40895694217513157], [3.0], [3.0], [3.0], [3.0]]
[[1563.102790559269], [2882.1028981055597], [91.4977009483328], [0.3900463157942107], [0.4099536842057896], [3.0], [3.0], [3.0], [3.0]]
[[959.1018419400252], [1960.1016149213585], [57.3923331793262], [0.3901452902580336], [0.4098547097419667], [3.0], [3.0], [3.0], [3.0]]
[[1675.1034811553277], [3034.1038194849116], [61.531549495360736], [0.39094592233074943], [0.40905407766925084], [3.0], [3.0], [3.0], [3.0]]
[[1079.104048600665], [2120.1045480742637], [86.97899517193102], [0.39104442530157746], [0.4089555746984228], [3.0], [3.0], [3.0], [3.0]]
[[1561.3666959618809], [2879.766805507049], [91.02980096870488], [0.3900492907687316], [0.40995070923126864], [3.0], [3.0], [3.0], [3.0]]
[[959.7657544783868], [1961.365531783081], [57.026809803752464], [0.3901466261024997], [0.40985337389750054], [3.0], [3.0], [3.0], [3.0]]
[[1673.3674299621366], [3031.7677851218], [61.138322452410065], [0.39094918153858815], [0.4090508184614121], [3.0], [3.0], [3.0], [3.0]]
[[1079.7679827055406], [2121.3684931782886], [86.54029003515237], [0.39104384267356673], [0.40895615732643353], [3.0], [3.0], [3.0], [3.0]]
[[1559.632397503855], [2877.4325076186587], [90.56305838412652], [0.3900553852926856], [0.4099446147073147], [3.0], [3.0], [3.0], [3.0]]
[[960.4314948212193], [1962.6312860300782], [56.66242620680496], [0.3901460127708831], [0.40985398722911714], [3.0], [3.0], [3.0], [3.0]]
[[1671.6332198799826], [3029.433606045939], [60.74626704988162], [0.3909555341892754], [0.40904446581072484], [3.0], [3.0], [3.0], [3.0]]
[[1080.433716334125], [2122.634237652386], [86.10264012755796], [0.3910456080563294], [0.4089543919436709], [3.0], [3.0], [3.0], [3.0]]
[[1557.8998955380516], [2875.100004923917], [90.09746364235093], [0.3900649641379732], [0.40993503586202706], [3.0], [3.0], [3.0], [3.0]]
[[961.0990006859995], [1963.8987939170227], [56.29917476449936], [0.39014774841999555], [0.4098522515800047], [3.0], [3.0], [3.0], [3.0]]
[[1669.9008565771856], [3027.1012898802373], [60.3555139519908], [0.3909653526228518], [0.40903464737714845], [3.0], [3.0], [3.0], [3.0]]
[[1081.1012495019634], [2123.901781517113], [85.66604448052456], [0.39104476975725033], [0.40895523024274993], [3.0], [3.0], [3.0], [3.0]]
[[1556.1691903464866], [2872.7692978085133], [89.63302759895862], [0.3900707761680011], [0.40992922383199915], [3.0], [3.0], [3.0], [3.0]]
[[961.7683438663271], [1965.1681519836918], [55.93717449179325], [0.3901468823037155], [0.40985311769628474], [3.0], [3.0], [3.0], [3.0]]
[[1668.1702351818603], [3024.7706955901203], [59.96596195699005], [0.39097140911574746], [0.4090285908842528], [3.0], [3.0], [3.0], [3.0]]
[[1081.7705822385187], [2125.1711248114325], [85.23051638200998], [0.3910456033061016], [0.40895439669389866], [3.0], [3.0], [3.0], [3.0]]
[[1554.4402818741996], [2870.4403861968867], [89.16974083160167], [0.3900818043404093], [0.409918195659591], [3.0], [3.0], [3.0], [3.0]]
[[962.4394624042916], [1966.4392769119281], [55.57621019037757], [0.39014769004146155], [0.4098523099585387], [3.0], [3.0], [3.0], [3.0]]
[[1666.4414859112535], [3022.441998295385], [59.57764729129109], [0.39098268332693076], [0.4090173166730695], [3.0], [3.0], [3.0], [3.0]]
[[1082.4417145749683], [2126.4422675765745], [84.79604087338947], [0.39104702952864256], [0.4089529704713577], [3.0], [3.0], [3.0], [3.0]]
[[1552.713170098706], [2868.113270058281], [88.70760578063303], [0.3900820226448851], [0.40991797735511515], [3.0], [3.0], [3.0], [3.0]]
[[963.1123719779935], [1967.7121897866837], [55.21659634401141], [0.39014909290026933], [0.40985090709973093], [3.0], [3.0], [3.0], [3.0]]
[[1664.714376289879], [3020.1148853564805], [59.14099518803415], [0.390983143043965], [0.4090168569560353], [3.0], [3.0], [3.0], [3.0]]
[[1083.1146465493784], [2127.7152098628803], [84.36264467431619], [0.3948463164621603], [0.40515368353784], [3.0], [3.0], [3.0], [3.0]]
[[1550.9878550798078], [2865.7879494747103], [88.23817927964652], [0.3900883616045685], [0.40991163839543177], [3.0], [3.0], [3.0], [3.0]]
[[963.7320119642072], [1968.912835255528], [54.84293599989489], [0.3939481057121266], [0.4060518942878737], [3.0], [3.0], [3.0], [3.0]]
[[1662.989152019531], [3017.789687200294], [58.795850801449795], [0.39098970240175435], [0.4090102975982459], [3.0], [3.0], [3.0], [3.0]]
[[1083.7893736550818], [2128.9899457099996], [83.93029734061125], [0.39481075834614954], [0.40518924165385073], [3.0], [3.0], [3.0], [3.0]]
[[1549.2643371000013], [2863.4644248333725], [87.77845492001384], [0.39008974097416926], [0.409910259025831], [3.0], [3.0], [3.0], [3.0]]
[[964.4090526038058], [1970.190062340244], [54.485753450413625], [0.3939125343236616], [0.4060874656763387], [3.0], [3.0], [3.0], [3.0]]
[[1661.2656525444422], [3015.4661879064697], [58.47966396141227], [0.3909912819924668], [0.40900871800753347], [3.0], [3.0], [3.0], [3.0]]
[[1084.465900555221], [2130.26648128522], [83.49901903366806], [0.3909512536075366], [0.4090487463924637], [3.0], [3.0], [3.0], [3.0]]
[[1547.5426164281557], [2861.1426965027786], [87.32810054186254], [0.39011089308706604], [0.40988910691293423], [3.0], [3.0], [3.0], [3.0]]
[[965.1433002438602], [1971.5435893393305], [54.144422051230364], [0.3900533788132674], [0.40994662118673286], [3.0], [3.0], [3.0], [3.0]]
[[1659.5442369386496], [3013.144870368099], [58.104915778685154], [0.39101259250369713], [0.40898740749630313], [3.0], [3.0], [3.0], [3.0]]
[[1085.1442318703096], [2131.544822699445], [83.0687688097379], [0.38713067174058224], [0.412869328259418], [3.0], [3.0], [3.0], [3.0]]
[[1545.8226936263964], [2858.822765253336], [86.8787725170923], [0.3901115327875462], [0.4098884672124541], [3.0], [3.0], [3.0], [3.0]]
[[965.8788160025891], [1972.8982004203885], [53.80448920827848], [0.38623317473086827], [0.413766825269132], [3.0], [3.0], [3.0], [3.0]]
[[1657.8243215220582], [3010.824949635702], [57.7313417411698], [0.39101333977626096], [0.4089866602237393], [3.0], [3.0], [3.0], [3.0]]
[[1085.8243680443306], [2132.824970539862], [82.63961345761865], [0.3833486520960414], [0.41665134790395886], [3.0], [3.0], [3.0], [3.0]]
[[1544.1045693760173], [2856.504632018754], [86.43047187468252], [0.3901123665452295], [0.40988763345477075], [3.0], [3.0], [3.0], [3.0]]
[[966.6156047053523], [1974.2539020908846], [53.465238325521526], [0.38245155481017834], [0.4175484451898219], [3.0], [3.0], [3.0], [3.0]]
[[1656.1062073566607], [3008.506830585946], [57.291335466817216], [0.3910142397897416], [0.4089857602102587], [3.0], [3.0], [3.0], [3.0]]
[[1086.5063094191607], [2134.1069252586085], [82.21151856832145], [0.38342744084933233], [0.41657255915066793], [3.0], [3.0], [3.0], [3.0]]
[[1542.388244232051], [2854.188297559696], [85.97504036935737], [0.3901132359723545], [0.4098867640276458], [3.0], [3.0], [3.0], [3.0]]
[[967.2981995917712], [1975.5361160076818], [53.112019030379344], [0.38253027917268234], [0.4174697208273179], [3.0], [3.0], [3.0], [3.0]]
[[1654.38989274443], [3006.1905109352756], [56.91153415101683], [0.3910151341840895], [0.40898486581591076], [3.0], [3.0], [3.0], [3.0]]
[[1087.1900497944512], [2135.3906786553125], [81.78448247854922], [0.38350579648221705], [0.4164942035177832], [3.0], [3.0], [3.0], [3.0]]
[[1540.6737187492608], [2851.87376263645], [85.52076116495189], [0.3901203468535974], [0.40987965314640284], [3.0], [3.0], [3.0], [3.0]]
[[967.9825998451643], [1976.820137143543], [52.759873376642304], [0.3826085319029593], [0.417391468097041], [3.0], [3.0], [3.0], [3.0]]
[[1652.675468297045], [3003.876112540903], [56.532950829204054], [0.39102223324641416], [0.4089777667535861], [3.0], [3.0], [3.0], [3.0]]
