h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
247.53812499999998,2327.8881250000004,91.79362252149303,0.032509205488383486,0.028916008395418885,0.014100000000000001,0.03457283383661025,0.031083991604581168,0.01590000000000001,1.12,1.12,1.12,1.12
247.5513442785761,2327.9286275681025,91.80704451809808,0.03254806188124665,0.02904290229220363,0.014119722909758714,0.03453397744374709,0.03095709770779642,0.0158802770902413,1.12,1.12,1.12,1.12
247.5645428203229,2327.9690706329466,91.81989227995469,0.03258604909706547,0.029168397659372236,0.014139052539240665,0.034495990227928264,0.030831602340627817,0.015860947460759348,1.12,1.12,1.12,1.12
247.5777207764789,2328.0094545953116,91.8321732754176,0.03262318375596057,0.029292510157473917,0.014157996728439745,0.034458855569033164,0.030707489842526137,0.015842003271560268,1.12,1.12,1.12,1.12
247.59087829822823,2328.0497798567944,91.84389486114455,0.032659482169757004,0.029415255266684703,0.01417656316136337,0.03442255715523673,0.03058474473331535,0.015823436838636643,1.12,1.12,1.12,1.12
247.60401553666622,2328.0900468196864,91.85506428420908,0.03269496034773217,0.0295366482889593,0.014194759367594581,0.034387078977261565,0.030463351711040754,0.015805240632405432,1.12,1.12,1.12,1.12
247.6171326427649,2328.130255886853,91.86568868416161,0.03272963400231477,0.029656704350179586,0.014212592727348247,0.03435240532267897,0.030343295649820468,0.015787407272651766,1.12,1.12,1.12,1.12
247.63022976734118,2328.170407461612,91.87577509503932,0.03276351855463949,0.029775438402265153,0.01423007047401166,0.034318520770354244,0.0302245615977349,0.015769929525988352,1.12,1.12,1.12,1.12
247.6433070610256,2328.210501947628,91.88533044732871,0.0327966291399987,0.02989286522526169,0.014247199696612298,0.034285410184995035,0.030107134774738364,0.015752800303387715,1.12,1.12,1.12,1.12
247.65636467423195,2328.2505397488007,91.89436156988177,0.0328289806131955,0.030008999429401606,0.014263987342816087,0.034253058711798234,0.029991000570598447,0.015736012657183926,1.12,1.12,1.12,1.12
247.6694027571286,2328.2905212691603,91.9028751917857,0.03286058755350485,0.03012385545753027,0.014280440154459645,0.03422145177148889,0.029876144542469785,0.015719559845540368,1.12,1.12,1.12,1.12
247.68242145958467,2328.3304469126824,91.91087794421381,0.032891464270960125,0.030237447586095534,0.014296564891252306,0.03419057505403361,0.02976255241390452,0.015703435108747707,1.12,1.12,1.12,1.12
247.69542093120128,2328.3703170833805,91.9183763307352,0.03292162480977795,0.030349789928017457,0.014312368068436443,0.03416041451521579,0.029650210071982597,0.01568763193156357,1.12,1.12,1.12,1.12
247.708401321244,2328.410132185075,91.92537682508035,0.03295108295431487,0.030460896434382545,0.014327856097612682,0.03413095637067887,0.02953910356561751,0.01567214390238733,1.12,1.12,1.12,1.12
247.7213627786278,2328.449892621331,91.93188577462233,0.03297985223368838,0.030570780896400473,0.01434303526257004,0.03410218709130536,0.02942921910359958,0.015656964737429974,1.12,1.12,1.12,1.12
247.73430545189308,2328.489598795377,91.9379094362272,0.03300794592655448,0.030679456947134254,0.01435791172189356,0.034074093398439254,0.0293205430528658,0.015642088278106453,1.12,1.12,1.12,1.12
247.74722948918253,2328.5292511100147,91.94345397735854,0.03303537706575044,0.030786938063264824,0.014372491509146157,0.0340466622592433,0.02921306193673523,0.015627508490853856,1.12,1.12,1.12,1.12
247.76013503821855,2328.568849967539,91.94852547778375,0.033062158443368905,0.030893237567495846,0.014386780611353428,0.03401988088162483,0.029106762432504207,0.015613219388646585,1.12,1.12,1.12,1.12
247.77302224630978,2328.608395769744,91.95312993074614,0.03308830261365203,0.030998368630386686,0.014400784752900617,0.033993736711341704,0.029001631369613368,0.015599215247099396,1.12,1.12,1.12,1.12
247.7858912602752,2328.647888917675,91.95727324483326,0.033113821899190043,0.031102344271928872,0.014414509614311899,0.03396821742580369,0.02889765572807118,0.015585490385688114,1.12,1.12,1.12,1.12
247.79874222645222,2328.6873298116398,91.96096124353333,0.03313872839459053,0.031205177363332726,0.014427960762887437,0.0339433109304032,0.028794822636667328,0.015572039237112575,1.12,1.12,1.12,1.12
247.81157529067747,2328.7267188511387,91.96419967142717,0.0331630339707219,0.03130688062879722,0.01444114365494345,0.033919005354271836,0.028693119371202835,0.015558856345056563,1.12,1.12,1.12,1.12
247.8243905982692,2328.766056434797,91.96699419133172,0.03318675027887524,0.03140746664725591,0.014454063638034156,0.03389528904611849,0.028592533352744143,0.015545936361965856,1.12,1.12,1.12,1.12
247.8371882940095,2328.8053429603005,91.96935038699205,0.03320988875484776,0.03150694785410324,0.014466725953120332,0.033872150570145976,0.028493052145896813,0.01553327404687968,1.12,1.12,1.12,1.12
247.849968522128,2328.8445788243316,91.97127376443332,0.033232460622948434,0.0316053365428966,0.014479135736694515,0.0338495787020453,0.028394663457103453,0.015520864263305498,1.12,1.12,1.12,1.12
247.862731426286,2328.8837644225064,91.97276975328482,0.033254476899926444,0.03170264486704011,0.014491298022864196,0.03382756242506729,0.028297355132959945,0.015508701977135816,1.12,1.12,1.12,1.12
247.87547714956088,2328.9229001493227,91.97384370807339,0.03327594839882586,0.03179888484144483,0.014503217745393052,0.033806090926167875,0.028201115158555223,0.015496782254606961,1.12,1.12,1.12,1.12
247.8882058344321,2328.961986398098,91.97450090954067,0.03329688573276729,0.031894068344169524,0.014514899739701548,0.03378515359222645,0.02810593165583053,0.015485100260298465,1.12,1.12,1.12,1.12
247.9009176227667,2329.001023560917,91.97474656578252,0.0333172993186564,0.0319882071180414,0.01452634874482793,0.033764740006337335,0.028011792881958653,0.015473651255172083,1.12,1.12,1.12,1.12
