h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
49.72249999999999,97.3225,8943.720000000001,0.13509999999999966,0.1516247584249848,0.06510000000000002,0.14490000000000047,0.16142475842498594,0.07490000000000008,1.12,1.12,1.12,1.12
49.802807487847666,97.13790019370666,8949.86136914219,0.1370955858024353,0.16076804250029908,0.06561842658426956,0.14290441419756483,0.15228147434967165,0.07438157341573054,1.12,1.12,1.12,1.12
49.802807487847666,97.13790019370666,8949.86136914219,0.1370955858024353,0.16076804250029908,0.06561842658426956,0.14290441419756483,0.15228147434967165,0.07438157341573054,1.12,1.12,1.12,1.12
49.83782639316486,97.12948901840016,8950.461976941633,0.13069235602018758,0.15613164905947907,0.06738658143105028,0.14930764397981255,0.15691786779049166,0.07261341856894982,1.12,1.12,1.12,1.12
49.83665293644164,97.0855084742419,8951.718327730856,0.13835207285134554,0.15831497189830412,0.06824789926969813,0.1416479271486546,0.1547345449516666,0.07175210073030197,1.12,1.12,1.12,1.12
49.86984774504955,97.08106182664872,8952.186160644247,0.12811412744938144,0.1447159471618933,0.07193833434911104,0.1518858725506187,0.16833356968807744,0.06806166565088906,1.12,1.12,1.12,1.12
49.915285822116516,97.07945717482589,8952.698466109623,0.11738204280715314,0.13290527414699205,0.07200928157206507,0.162617957192847,0.18014424270297869,0.06799071842793503,1.12,1.12,1.12,1.12
49.87015344936034,97.18241022752414,8949.268560726883,0.10713932094207113,0.1234844761256404,0.06785187373330429,0.172860679057929,0.18956504072433034,0.07214812626669581,1.12,1.12,1.12,1.12
49.91590216061765,97.15846833893806,8950.42873621436,0.10248879493156793,0.11793797885339763,0.07051007990165567,0.1775112050684322,0.1951115379965731,0.06948992009834443,1.12,1.12,1.12,1.12
49.897130370917054,97.11767820043748,8951.410529797957,0.11095375727357815,0.1281549242954345,0.07039253165688017,0.169046242726422,0.18489459255453622,0.06960746834311993,1.12,1.12,1.12,1.12
49.946101223951125,97.14589915276613,8951.101932609774,0.09479419045201609,0.11957272930062324,0.07222212522799212,0.18520580954798405,0.1934767875493475,0.06777787477200797,1.12,1.12,1.12,1.12
49.96800100218951,97.16511598287012,8950.775070051463,0.08648722153480826,0.11364589698531402,0.07296225026810235,0.19351277846519188,0.1994036198646567,0.06703774973189774,1.12,1.12,1.12,1.12
49.969043243570596,97.14687835644548,8951.310640462882,0.08908185625410403,0.12276349704927081,0.07550367935737903,0.1909181437458961,0.19028601980069992,0.06449632064262106,1.12,1.12,1.12,1.12
49.98679980819538,97.17292148761497,8950.745039784193,0.0810282809365026,0.1072704668979978,0.07595339033169421,0.19897171906349753,0.20577904995197294,0.06404660966830589,1.12,1.12,1.12,1.12
50.00230285775053,97.20230258895052,8950.060867533284,0.07265280972660426,0.10221658829648894,0.0762631841135695,0.20734719027339588,0.2108329285534818,0.0637368158864306,1.12,1.12,1.12,1.12
50.00720607789477,97.22945922585265,8949.331226116195,0.06762422276342894,0.09083175095856988,0.07607916661685701,0.2123757772365712,0.22221776589140085,0.06392083338314308,1.12,1.12,1.12,1.12
50.00720607789477,97.22945922585265,8949.331226116195,0.06728794897891022,0.10027362046970834,0.07387320972151082,0.21271205102108992,0.2127758963802624,0.06612679027848928,1.12,1.12,1.12,1.12
50.020601671774656,97.3019692324839,8947.387952852156,0.05315686577048717,0.08721179228570919,0.0734471964433269,0.22684313422951297,0.22583772456426154,0.0665528035566732,1.12,1.12,1.12,1.12
50.020601671774656,97.3019692324839,8947.387952852156,0.05315686577048717,0.08479083364064866,0.0734471964433269,0.22684313422951297,0.22825868320932208,0.0665528035566732,1.12,1.12,1.12,1.12
50.002346333753266,97.26760840601257,8948.184634163657,0.06248970236318341,0.09662789641474334,0.07300513159992819,0.21751029763681673,0.2164216204352274,0.0669948684000719,1.12,1.12,1.12,1.12
